ID,TL_mm,weight,sex,area,capt_date,age,cohort,year,inc_um,rad_um,core,OH,d18O,sims_dist,"Sr[, 2]"
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,4,242.1,1100.4,132.2,0.0385,-7.2141652,1040.466242,0.00222021367521368
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,4,242.1,1100.4,132.2,0.0377,-5.7882505,1075.248808,0.00205476495726496
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,5,178.1,1278.5,132.2,0.0423,-8.5624791,1109.726543,0.00209752136752137
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,5,178.1,1278.5,132.2,0.0399,-8.9795834,1144.509065,0.00217615384615385
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,5,178.1,1278.5,132.2,0.0385,-8.164775,1178.986853,0.00212803418803419
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,5,178.1,1278.5,132.2,0.0371,-6.7582605,1213.769336,0.00193705128205128
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,5,178.1,1278.5,132.2,0.0398,-6.127754,1248.551961,0.0020291452991453
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,6,168.8,1447.3,132.2,0.0387,-7.2626657,1283.029618,0.0019417735042735
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,6,168.8,1447.3,132.2,0.0369,-7.3596667,1317.812202,0.0020765811965812
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,6,168.8,1447.3,132.2,0.0381,-7.8931722,1352.28991,0.00190583333333333
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,6,168.8,1447.3,132.2,0.0367,-7.6603698,1387.072457,0.00209683760683761
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,6,168.8,1447.3,132.2,0.036,-7.485768,1421.55021,0.00234252136752137
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,7,110,1557.3,132.2,0.0373,-8.7661812,1456.332723,0.00220850427350427
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,7,110,1557.3,132.2,0.0374,-7.5439686,1490.810518,0.00223376068376068
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,7,110,1557.3,132.2,0.0347,-5.8755514,1525.592999,0.00208683760683761
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,8,130.6,1687.9,132.2,0.0369,-7.6215694,1560.375596,0.00208019230769231
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,8,130.6,1687.9,132.2,0.039,-7.3305664,1594.853285,0.00218692307692308
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,8,130.6,1687.9,132.2,0.0385,-7.2335654,1629.635849,0.00223882478632479
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,8,130.6,1687.9,132.2,0.0355,-5.157744,1664.113578,0.0021074358974359
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,9,102.7,1790.6,132.2,0.0398,-8.3684771,1698.896112,0.0022850641025641
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,9,102.7,1790.6,132.2,0.0401,-6.4478573,1733.373878,0.00234974358974359
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,9,102.7,1790.6,132.2,0.0375,-2.7133188,1768.156384,0.00252709401709402
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,10,6.2,1806.8,132.2,0.0371,-7.0880639,1803.586704,0.00254888888888889
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,1,493,513,228.5,0.038,-8.1259746,0,0.00110711111111111
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,1,493,513,228.5,0.0394,-7.8640719,36.05551275,0.00105905555555556
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,1,493,513,228.5,0.0398,-8.0871742,72.11102551,0.00121523931623932
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,1,493,513,228.5,0.0407,-7.4275674,108.1665383,0.00148465811965812
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,1,493,513,228.5,0.0393,-7.5924691,144.222051,0.00155675213675214
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,1,493,513,228.5,0.0393,-5.9434521,180.2775638,0.00185051282051282
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,1,493,513,228.5,0.0384,-7.4469676,216.3330765,0.00206854700854701
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,1,493,513,228.5,0.039,-7.67977,252.3885893,0.00240508547008547
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,1,493,513,228.5,0.0398,-6.9522625,288.444102,0.00240299145299145
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,1,493,513,228.5,0.037,-6.5351582,324.4996148,0.00208235042735043
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,1,493,513,228.5,0.0245,-5.836751,360.5551275,0.00143307692307692
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,1,493,513,228.5,0.0169,-6.0889536,395.6677899,0.00131564102564103
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,1,493,513,228.5,0.0406,-6.1180539,430.7806867,0.00125948717948718
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,1,493,513,228.5,0.0392,-7.0492635,465.8937647,0.00132111111111111
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,1,493,513,228.5,0.0394,-5.7106497,501.006986,0.00136863247863248
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,2,315.2,828.2,228.5,0.0397,-6.6321592,536.1203223,0.00161512820512821
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,2,315.2,828.2,228.5,0.0404,-8.2423758,571.2337525,0.00198675213675214
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,2,315.2,828.2,228.5,0.0403,-7.9125724,606.3472602,0.00209179487179487
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,2,315.2,828.2,228.5,0.0406,-8.1259746,641.4608328,0.00209435897435897
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,2,315.2,828.2,228.5,0.0413,-8.5042785,676.5744601,0.00200777777777778
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,2,315.2,828.2,228.5,0.0401,-8.7273808,711.6881339,0.00154094017094017
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,2,315.2,828.2,228.5,0.0423,-8.2520759,746.8018479,0.00157350427350427
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,2,315.2,828.2,228.5,0.0403,-7.0201632,781.9155965,0.00221367521367521
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,2,315.2,828.2,228.5,0.0411,-6.2829556,817.0293752,0.00228115384615385
