area,date,cohort,month,d18O,d18O_cor,d18O_W
Tributary,2019-09-01,2010,9,-7.0350185979021,-7.30502251960955,-5.12342284569138
Tributary,2019-09-01,2017,9,-7.0350185979021,-7.30502251960955,-5.12342284569138
Tributary,2019-09-01,2012,9,-7.0350185979021,-7.30502251960955,-5.12342284569138
Tributary,2019-09-01,2013,9,-7.0350185979021,-7.30502251960955,-5.12342284569138
Tributary,2019-09-01,2009,9,-7.0350185979021,-7.30502251960955,-5.12342284569138
Tributary,2019-09-01,2015,9,-7.0350185979021,-7.30502251960955,-5.12342284569138
Tributary,2019-10-01,2016,10,-6.34895697972028,-6.64754223730795,-5.42066933867736
Tributary,2019-10-01,2014,10,-6.34895697972028,-6.64754223730795,-5.42066933867736
Tributary,2019-10-01,2018,10,-6.34895697972028,-6.64754223730795,-5.42066933867736
Tributary,2019-10-01,2010,10,-6.34895697972028,-6.64754223730795,-5.42066933867736
Tributary,2019-10-01,2017,10,-6.34895697972028,-6.64754223730795,-5.42066933867736
Tributary,2019-10-01,2012,10,-6.34895697972028,-6.64754223730795,-5.42066933867736
Tributary,2019-10-01,2013,10,-6.34895697972028,-6.64754223730795,-5.42066933867736
Tributary,2019-10-01,2009,10,-6.34895697972028,-6.64754223730795,-5.42066933867736
Tributary,2019-10-01,2015,10,-6.34895697972028,-6.64754223730795,-5.42066933867736
Tributary,2019-11-01,2016,11,-5.66775671701632,-5.9748979093219,-6.00735871743487
Tributary,2019-11-01,2014,11,-5.66775671701632,-5.9748979093219,-6.00735871743487
Tributary,2019-11-01,2018,11,-5.66775671701632,-5.9748979093219,-6.00735871743487
Tributary,2019-11-01,2010,11,-5.66775671701632,-5.9748979093219,-6.00735871743487
Tributary,2019-11-01,2017,11,-5.66775671701632,-5.9748979093219,-6.00735871743487
Tributary,2019-11-01,2012,11,-5.66775671701632,-5.9748979093219,-6.00735871743487
Tributary,2019-11-01,2013,11,-5.66775671701632,-5.9748979093219,-6.00735871743487
Tributary,2019-11-01,2009,11,-5.66775671701632,-5.9748979093219,-6.00735871743487
Tributary,2019-11-01,2015,11,-5.66775671701632,-5.9748979093219,-6.00735871743487
Tributary,2019-12-01,2016,12,-4.95429062051282,-5.2707058715534,-6.52665330661323
Tributary,2019-12-01,2014,12,-4.95429062051282,-5.2707058715534,-6.52665330661323
Tributary,2019-12-01,2018,12,-4.95429062051282,-5.2707058715534,-6.52665330661323
Tributary,2019-12-01,2010,12,-4.95429062051282,-5.2707058715534,-6.52665330661323
Tributary,2019-12-01,2017,12,-4.95429062051282,-5.2707058715534,-6.52665330661323
Tributary,2019-12-01,2012,12,-4.95429062051282,-5.2707058715534,-6.52665330661323
Tributary,2019-12-01,2013,12,-4.95429062051282,-5.2707058715534,-6.52665330661323
Tributary,2019-12-01,2009,12,-4.95429062051282,-5.2707058715534,-6.52665330661323
Tributary,2019-12-01,2015,12,-4.95429062051282,-5.2707058715534,-6.52665330661323
Tributary,2020-01-01,2016,1,-6.867386625,-7.25743523507872,-7.68120183540208
Tributary,2020-01-01,2014,1,-6.867386625,-7.25743523507872,-7.68120183540208
Tributary,2020-01-01,2018,1,-6.867386625,-7.25743523507872,-7.68120183540208
Tributary,2020-01-01,2010,1,-6.867386625,-7.25743523507872,-7.68120183540208
Tributary,2020-01-01,2017,1,-6.867386625,-7.25743523507872,-7.68120183540208
Tributary,2020-01-01,2015,1,-6.867386625,-7.25743523507872,-7.68120183540208
Tributary,2020-01-01,2019,1,-6.867386625,-7.25743523507872,-7.68120183540208
Tributary,2020-01-01,2013,1,-6.867386625,-7.25743523507872,-7.68120183540208
Tributary,2020-01-01,2012,1,-6.867386625,-7.25743523507872,-7.68120183540208
Tributary,2020-02-01,2016,2,-7.03851010631313,-7.46707923063243,-8.0752838402259
Tributary,2020-02-01,2014,2,-7.03851010631313,-7.46707923063243,-8.0752838402259
Tributary,2020-02-01,2018,2,-7.03851010631313,-7.46707923063243,-8.0752838402259
Tributary,2020-02-01,2010,2,-7.03851010631313,-7.46707923063243,-8.0752838402259
Tributary,2020-02-01,2017,2,-7.03851010631313,-7.46707923063243,-8.0752838402259
Tributary,2020-02-01,2015,2,-7.03851010631313,-7.46707923063243,-8.0752838402259
Tributary,2020-02-01,2019,2,-7.03851010631313,-7.46707923063243,-8.0752838402259
Tributary,2020-02-01,2013,2,-7.03851010631313,-7.46707923063243,-8.0752838402259
Tributary,2020-02-01,2012,2,-7.03851010631313,-7.46707923063243,-8.0752838402259
Tributary,2020-03-01,2016,3,-7.0898765449495,-7.52733672852801,-7.7
Tributary,2020-03-01,2014,3,-7.0898765449495,-7.52733672852801,-7.7
Tributary,2020-03-01,2018,3,-7.0898765449495,-7.52733672852801,-7.7
Tributary,2020-03-01,2010,3,-7.0898765449495,-7.52733672852801,-7.7
Tributary,2020-03-01,2017,3,-7.0898765449495,-7.52733672852801,-7.7
Tributary,2020-03-01,2015,3,-7.0898765449495,-7.52733672852801,-7.7
Tributary,2020-03-01,2019,3,-7.0898765449495,-7.52733672852801,-7.7
Tributary,2020-03-01,2013,3,-7.0898765449495,-7.52733672852801,-7.7
Tributary,2020-03-01,2012,3,-7.0898765449495,-7.52733672852801,-7.7
Tributary,2020-04-01,2016,4,-7.14276168611111,-7.59371405211549,-7.25
